Strain,Time,DO
C1,1,0.349
C1,2,0.709
C1,3,0.896
C1,4,1.04
C1,5,1.136
C1,6,1.235
C1,7,1.324
C1,8,1.401
C1,9,1.456
C1,10,1.502
C1,11,1.552
C1,12,1.568
C1,13,1.605
C1,14,1.634
C1,15,1.657
C1,16,1.663
C1,17,1.664
C1,18,1.663
C1,19,1.673
C1,20,1.676
C1,21,1.651
C1,22,1.631
C1m,1,0.304
C1m,2,0.531
C1m,3,0.649
C1m,4,0.675
C1m,5,0.699
C1m,6,0.756
C1m,7,0.824
C1m,8,0.888
C1m,9,0.947
C1m,10,0.988
C1m,11,1.01
C1m,12,1.048
C1m,13,1.068
C1m,14,1.064
C1m,15,1.095
C1m,16,1.097
C1m,17,1.069
C1m,18,1.086
C1m,19,1.076
C1m,20,1.061
C1m,21,1.041
C1m,22,1.019
